"","Progeny","Count_Variable","Count_Value","Count","Success_No","Success_Yes"
"212","Yes","DurationSec",8,2,NA,1
"213","Yes","DurationSec",9,1,NA,1
"214","Yes","DurationSec",10,2,NA,1
"215","Yes","DurationSec",11,5,NA,1
"216","Yes","DurationSec",12,5,NA,1
"217","Yes","DurationSec",13,1,NA,1
"218","Yes","DurationSec",14,2,NA,1
"219","Yes","DurationSec",15,1,0.166666666666667,NA
"220","Yes","DurationSec",15,5,NA,0.833333333333333
"221","Yes","DurationSec",16,2,NA,1
"222","Yes","DurationSec",17,3,NA,1
"223","Yes","DurationSec",18,2,0.4,NA
"224","Yes","DurationSec",18,3,NA,0.6
"225","Yes","DurationSec",20,1,0.25,NA
"226","Yes","DurationSec",20,3,NA,0.75
"227","Yes","DurationSec",21,1,NA,1
"228","Yes","DurationSec",22,5,NA,1
"229","Yes","DurationSec",23,4,NA,1
"230","Yes","DurationSec",24,2,0.4,NA
"231","Yes","DurationSec",24,3,NA,0.6
"232","Yes","DurationSec",25,3,NA,1
"233","Yes","DurationSec",26,3,NA,1
"234","Yes","DurationSec",27,2,NA,1
"235","Yes","DurationSec",28,3,NA,1
"236","Yes","DurationSec",30,3,0.375,NA
"237","Yes","DurationSec",30,5,NA,0.625
"238","Yes","DurationSec",31,1,0.2,NA
"239","Yes","DurationSec",31,4,NA,0.8
"240","Yes","DurationSec",33,1,NA,1
"241","Yes","DurationSec",34,1,0.333333333333333,NA
"242","Yes","DurationSec",34,2,NA,0.666666666666667
"243","Yes","DurationSec",35,6,NA,1
"244","Yes","DurationSec",36,1,NA,1
"245","Yes","DurationSec",37,1,0.5,0.5
"246","Yes","DurationSec",38,2,NA,1
"247","Yes","DurationSec",39,3,NA,1
"248","Yes","DurationSec",40,3,0.6,NA
"249","Yes","DurationSec",40,2,NA,0.4
"250","Yes","DurationSec",41,1,NA,1
"251","Yes","DurationSec",42,7,NA,1
"252","Yes","DurationSec",43,1,NA,1
"253","Yes","DurationSec",44,1,NA,1
"254","Yes","DurationSec",45,1,0.25,NA
"255","Yes","DurationSec",45,3,NA,0.75
"256","Yes","DurationSec",46,1,NA,1
"257","Yes","DurationSec",47,2,0.5,0.5
"258","Yes","DurationSec",48,2,NA,1
"259","Yes","DurationSec",49,3,NA,1
"260","Yes","DurationSec",50,1,1,NA
"261","Yes","DurationSec",51,1,NA,1
"262","Yes","DurationSec",52,1,NA,1
"263","Yes","DurationSec",55,1,NA,1
"264","Yes","DurationSec",57,1,0.5,0.5
"265","Yes","DurationSec",60,2,0.2,NA
"266","Yes","DurationSec",60,8,NA,0.8
"267","Yes","DurationSec",61,1,NA,1
"268","Yes","DurationSec",62,2,1,NA
"269","Yes","DurationSec",63,1,1,NA
"270","Yes","DurationSec",64,1,0.5,0.5
"271","Yes","DurationSec",65,2,0.4,NA
"272","Yes","DurationSec",65,3,NA,0.6
"273","Yes","DurationSec",67,2,NA,1
"274","Yes","DurationSec",68,1,NA,1
"275","Yes","DurationSec",69,1,NA,1
"276","Yes","DurationSec",71,1,NA,1
"277","Yes","DurationSec",72,1,NA,1
"278","Yes","DurationSec",75,2,NA,1
"279","Yes","DurationSec",79,1,0.5,0.5
"280","Yes","DurationSec",80,1,1,NA
"281","Yes","DurationSec",81,2,NA,1
"282","Yes","DurationSec",82,2,NA,1
"283","Yes","DurationSec",83,1,NA,1
"284","Yes","DurationSec",85,2,1,NA
"285","Yes","DurationSec",86,3,NA,1
"286","Yes","DurationSec",87,1,NA,1
"287","Yes","DurationSec",88,1,1,NA
"288","Yes","DurationSec",92,1,NA,1
"289","Yes","DurationSec",95,1,1,NA
"290","Yes","DurationSec",98,2,NA,1
"291","Yes","DurationSec",99,1,NA,1
"292","Yes","DurationSec",100,1,NA,1
"293","Yes","DurationSec",101,1,NA,1
"294","Yes","DurationSec",105,1,NA,1
"295","Yes","DurationSec",107,1,1,NA
"296","Yes","DurationSec",108,1,0.333333333333333,NA
"297","Yes","DurationSec",108,2,NA,0.666666666666667
"298","Yes","DurationSec",112,1,NA,1
"299","Yes","DurationSec",113,1,NA,1
"300","Yes","DurationSec",118,1,NA,1
"301","Yes","DurationSec",120,1,1,NA
"302","Yes","DurationSec",124,1,NA,1
"303","Yes","DurationSec",133,1,1,NA
"304","Yes","DurationSec",139,1,NA,1
"305","Yes","DurationSec",140,1,1,NA
"306","Yes","DurationSec",143,1,NA,1
"307","Yes","DurationSec",145,1,1,NA
"308","Yes","DurationSec",147,1,NA,1
"309","Yes","DurationSec",150,1,NA,1
"310","Yes","DurationSec",164,1,NA,1
"311","Yes","DurationSec",168,1,1,NA
"312","Yes","DurationSec",170,1,NA,1
"313","Yes","DurationSec",173,1,NA,1
"314","Yes","DurationSec",174,1,NA,1
"315","Yes","DurationSec",176,1,NA,1
"316","Yes","DurationSec",180,1,0.5,0.5
"317","Yes","DurationSec",204,1,NA,1
"318","Yes","DurationSec",237,1,NA,1
"319","Yes","DurationSec",242,1,NA,1
"320","Yes","DurationSec",249,1,NA,1
"321","Yes","DurationSec",308,2,NA,1
"322","Yes","RecResNum",0,5,0.625,NA
"323","Yes","RecResNum",0,3,NA,0.375
"324","Yes","RecResNum",1,7,0.5,0.5
"325","Yes","RecResNum",2,9,0.321428571428571,NA
"326","Yes","RecResNum",2,19,NA,0.678571428571429
"327","Yes","RecResNum",3,8,0.181818181818182,NA
"328","Yes","RecResNum",3,36,NA,0.818181818181818
"329","Yes","RecResNum",4,4,0.148148148148148,NA
"330","Yes","RecResNum",4,23,NA,0.851851851851852
"331","Yes","RecResNum",5,4,0.148148148148148,NA
"332","Yes","RecResNum",5,23,NA,0.851851851851852
"333","Yes","RecResNum",6,4,0.181818181818182,NA
"334","Yes","RecResNum",6,18,NA,0.818181818181818
"335","Yes","RecResNum",7,1,0.0526315789473684,NA
"336","Yes","RecResNum",7,18,NA,0.947368421052632
"337","Yes","RecResNum",8,13,NA,1
"338","Yes","RecResNum",9,1,0.111111111111111,NA
"339","Yes","RecResNum",9,8,NA,0.888888888888889
"340","Yes","RecResNum",10,4,NA,1
"341","Yes","RecResNum",11,4,NA,1
"342","Yes","RecResNum",12,2,NA,1
"343","Yes","RecResNum",13,1,NA,1
"344","Yes","RecResNum",20,1,NA,1
